text,label
What does PM MUDRA Yojana provide,scheme_information
avedan kaise karen Eklavya Model Residential Schools ke liye,application_process
What are you?,greeting_identity
How can I register for PM Fasal Bima Yojana,application_process
What is the application process for PM Suraksha Bima Yojana,application_process
How do I apply for PM Jeevan Jyoti Bima Yojana?,application_process
Does OBC qualify for PM Scholarship Scheme (PMSS),eligibility_check
who won the cricket match,general_query
Do I qualify for National Scholarship Portal (NSP) Schemes,eligibility_check
Tell me about PM-KISAN,scheme_information
Do I qualify for Kisan Credit Card (KCC),eligibility_check
Do I qualify for MGNREGS (Mahatma Gandhi NREGS),eligibility_check
Best scheme for SC farmers,scheme_recommendation
What is your name,greeting_identity
What is Post-Matric Scholarship for SC Students?,scheme_information
Am I eligible for Eklavya Model Residential Schools if my income is 6 lakh,eligibility_check
Tell me about Mahila Shakti Kendra Scheme,scheme_information
Will I be entitled to Kisan Credit Card (KCC),eligibility_check
What is the application process for Ayushman Bharat – PM-JAY,application_process
What is PM Awas Yojana – Gramin (PMAY-G)?,scheme_information
What can you help me with,greeting_identity
Which schemes can I apply for as a unemployed person?,scheme_recommendation
Explain the benefits of PM Scholarship Scheme (PMSS),scheme_information
Does ST qualify for MGNREGS (Mahatma Gandhi NREGS),eligibility_check
mujhe PM Scholarship Scheme (PMSS) milega kya,eligibility_check
Will I be entitled to Pradhan Mantri Matru Vandana Yojana,eligibility_check
What government schemes suit a 68 year old daily wage worker,scheme_recommendation
What is PM Fasal Bima Yojana?,scheme_information
Explain the benefits of Kisan Credit Card (KCC),scheme_information
Hey!,greeting_identity
Suggest schemes for someone earning 2.5 lakh a year,scheme_recommendation
Can a 19 year old apply for PM Jeevan Jyoti Bima Yojana,eligibility_check
"Am I eligible for PM Fasal Bima Yojana if my income is 50,000",eligibility_check
What government schemes suit a 61 year old salaried employee,scheme_recommendation
Can a 68 year old apply for PM-KISAN,eligibility_check
Explain the benefits of PM Fasal Bima Yojana,scheme_information
hey,greeting_identity
Can I get Kisan Credit Card (KCC) benefits,eligibility_check
How can I register for MGNREGS (Mahatma Gandhi NREGS),application_process
What documents are needed for Mahila Shakti Kendra Scheme,application_process
Give me information on PM Fasal Bima Yojana,scheme_information
Am I eligible for Eklavya Model Residential Schools if my income is 2.5 lakh,eligibility_check
Eklavya Model Residential Schools ke liye kaise apply karen,application_process
Good evening,greeting_identity
Eklavya Model Residential Schools kya hai,scheme_information
Details about National Scholarship Portal (NSP) Schemes,scheme_information
who made you,greeting_identity
How can I register for PM Suraksha Bima Yojana,application_process
PM Scholarship Scheme (PMSS) kya hai,scheme_information
how do airplanes fly,general_query
Namaste,greeting_identity
Tell me about MGNREGS (Mahatma Gandhi NREGS),scheme_information
what do you do,greeting_identity
Is a salaried employee eligible for PM Fasal Bima Yojana,eligibility_check
Recommend a good movie,general_query
PM-KISAN ke liye kaise apply karen,application_process
How do I apply for PM Scholarship Scheme (PMSS)?,application_process
How do I apply for Startup India Seed Fund Scheme?,application_process
What is the application process for Indira Gandhi National Old Age Pension Scheme,application_process
Where can I submit the application for PM Suraksha Bima Yojana,application_process
What does Startup India Seed Fund Scheme provide,scheme_information
What does National Scholarship Portal (NSP) Schemes provide,scheme_information
konsi yojana meri liye sahi hai,scheme_recommendation
Suggest schemes for someone earning 1.2 lakh a year,scheme_recommendation
what's your name,greeting_identity
how's the weather,general_query
what's 15 times 3,general_query
Is a farmer eligible for PM Awas Yojana – Gramin (PMAY-G),eligibility_check
PM Jeevan Jyoti Bima Yojana kya hai,scheme_information
Steps to apply for Ayushman Bharat – PM-JAY,application_process
What schemes am I eligible for,scheme_recommendation
Mahila Shakti Kendra Scheme ke liye kaise apply karen,application_process
Documents required for MGNREGS (Mahatma Gandhi NREGS),application_process
Good morning,greeting_identity
Do I qualify for PM Suraksha Bima Yojana,eligibility_check
Where can I submit the application for PM-KISAN,application_process
mujhe Ayushman Bharat – PM-JAY milega kya,eligibility_check
Is a daily wage worker eligible for PM Suraksha Bima Yojana,eligibility_check
Hello,greeting_identity
What time is it,general_query
best recipe for biryani,general_query
kya main Indira Gandhi National Old Age Pension Scheme ke liye patra hoon,eligibility_check
How can I register for PM Jeevan Jyoti Bima Yojana,application_process
Which yojana is suitable for a farmer,scheme_recommendation
Hello!,greeting_identity
make me laugh,general_query
Tell me about Post-Matric Scholarship for SC Students,scheme_information
Details about Indira Gandhi National Old Age Pension Scheme,scheme_information
Who created you,greeting_identity
tell me something funny,general_query
Can a 28 year old apply for Startup India Seed Fund Scheme,eligibility_check
What government schemes suit a 24 year old student,scheme_recommendation
What government schemes suit a 24 year old self-employed person,scheme_recommendation
What is the application process for PM Jeevan Jyoti Bima Yojana,application_process
Documents required for Post-Matric Scholarship for SC Students,application_process
Can I get Post-Matric Scholarship for SC Students benefits,eligibility_check
What does PM Awas Yojana – Gramin (PMAY-G) provide,scheme_information
Which yojana is suitable for a unemployed person,scheme_recommendation
Explain the benefits of National Scholarship Portal (NSP) Schemes,scheme_information
Suggest schemes for someone earning 3 lakh a year,scheme_recommendation
who are you,greeting_identity
Explain the benefits of Pradhan Mantri Matru Vandana Yojana,scheme_information
Hey there,greeting_identity
Will I be entitled to PM Fasal Bima Yojana,eligibility_check
What documents are needed for Kisan Credit Card (KCC),application_process
What does PM Jeevan Jyoti Bima Yojana provide,scheme_information
Tell me a joke,general_query
"Am I eligible for Kisan Credit Card (KCC) if my income is 50,000",eligibility_check
Steps to apply for PM MUDRA Yojana,application_process
Will I be entitled to PM MUDRA Yojana,eligibility_check
what are you exactly,greeting_identity
Is a daily wage worker eligible for Indira Gandhi National Old Age Pension Scheme,eligibility_check
Is a self-employed person eligible for Startup India Seed Fund Scheme,eligibility_check
Does OBC qualify for National Scholarship Portal (NSP) Schemes,eligibility_check
Where can I submit the application for Ayushman Bharat – PM-JAY,application_process
what's the capital of Japan,general_query
Details about PM Awas Yojana – Gramin (PMAY-G),scheme_information
What government schemes suit a 68 year old salaried employee,scheme_recommendation
avedan kaise karen Ayushman Bharat – PM-JAY ke liye,application_process
kya main Eklavya Model Residential Schools ke liye patra hoon,eligibility_check
What documents are needed for PM MUDRA Yojana,application_process
Details about PM Fasal Bima Yojana,scheme_information
Which schemes can I apply for as a salaried employee?,scheme_recommendation
PM Fasal Bima Yojana kya hai,scheme_information
Which schemes can I apply for as a student?,scheme_recommendation
Is a daily wage worker eligible for Post-Matric Scholarship for SC Students,eligibility_check
Documents required for Kisan Credit Card (KCC),application_process
What's the capital of France,general_query
Suggest a scheme for a salaried employee earning 6 lakh,scheme_recommendation
