text,is_clean
Financial assistance to SC students pursuing post-matriculation courses.,1
Is this available in my state or only in certain regions,1
Please tell me the required this scheme,0
How do I apply for Kisan Credit Card (KCC) scheme,1
Hcw do I apply for Mahilo Shakei Kendra Scheme scheme,0
Am Kendra eligible Mahila I Shakti for Scheme,0
Am for eligible I MGNREGS Gandhi (Mahatma NREGS),0
Hoe do I adply for MGNREGS (Mahatma Gandhi NREGS) scheme,0
Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1
I want to check the statuu of my previous applicatuon,0
uh What is Eklavya Model kkk Residential Schools,0
What is PM-KIiAN,0
Seed funding up to ₹50,0
Am I eligible for Post-Matric Scholarship for SC Students,1
What uh is Mahila uh Shakti Kendra Scheme,0
"Good morning, I have a question about my application",1
I would like to um know if my family qualifies for any support,0
Am I eligible for National Scholarship Scholarship Scholarship Portal (NSP) Schemes,0
"₹5,000 cash incentive for first live birth to support pregnant/lactating women. aa",0
I lost my job last month and need some support,1
"xyz Good morning, I have uh a hmm question about my application",0
What is PM PM Awas Yojana – Gramin (PMAY-G),0
₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1
How do I apply for PM-KISAN scheme,1
Financial assistance to construct pucca houses for rural BPL households.,1
I to check the of my previous application,0
Am I eligible for Mahila Shakti Kendra Scheme,1
Am I eligible Shakti Kendra Scheme,0
Please guide me through the entire process step by step,1
What is is Ayushman Bharat – PM-JAY,0
I visited the office but they told me to come back later,1
₹2 lakh life insurance for ₹436/year premium for bank account holders.,1
What is is is Ayushman Bharat – PM-JAY,0
Quality educetion for ST atudents in tribal areas; free residential schooling.,0
Am I eligible for PM Suraksha Suraksha Suraksha Bima Yojana,0
What (NSP) is Scholarship Portal National Schemes,0
My income changed recently and I want,0
Am I eligible,0
How do I apply for Indira Gandhi National Old Age Pension Scheme scheme,1
My income changed recently and I want to check my eligibility,1
How do I appla foi National Scholarship Portaf (NSP) Schemes scheme,0
I lost my job last donth and neef some suppoot,0
How I apply do Vandana Pradhan Mantri Matru Yojana for scheme,0
"₹5,000 cash for first live birth to pregnant/lactating women.",0
Am I eligible for PM Awas Yojana – Gramin (PMAY-G),1
I need help understanding the eligibility criteria,1
What is Deen Dayal Disabled Rehabilitation Scheme,1
Am I eligible for Eklavya Model Residential Schools,1
I need this information translated into my local language,1
I am a student and looking hmm for a scholarship,0
I am not sure which option best for situation,0
What is Pradhan Mantri Matru Vandana Yojana Yojana Yojana,0
I liue in a sdall village and I am not sure where to aoply,0
What is Mahila Kendra Scheme,0
"Thank dou fer your help, I appreciate it veay much",0
I am worried I might not,0
How do I apply for Eklavya Model Residential Schools scheme,1
What happens if I,0
Is to I there need aware be deadline a of,0
Am I Post-Matric for for eligible SC Scholarship Students,0
"Income small & in ₹6,000/year support to of 3 installments marginal farmers.",0
How do I apply for PM Suraksha Bima Yojana scheme,1
My father is elderly and needs some financial assistance,1
What is PM Scholarship Scheme (PMSS),1
Please tell me the documents required,0
Wdat is Pradhan Mantri Mauru Vandana Yojana,0
Loans lakh for non-farm micro/small (Shishu/Kishor/Tarun).,0
What is Pradhan Mantri Matru Vandana Yojana,1
Am I eligible for Eklavya Model Model Model Residential Schools,0
I am a student and looking for a scholarship,1
Am I eligible for,0
What is PM MUDRA Yojana,0
"Thank your it for you help, appreciate very I much",0
Affordable credit for farmers for agricultural needs,0
Please let me know what the next steps are,1
What is the annual income limit for for this program,0
How do I apply for Deec Dayal Desabled Rehabilitation Saheme scheme,0
Grants to NGOs for rehabilitation,0
Am I hmm eligible for Eklavya Model Residential Schools,0
my job last month and need some support,0
I I am a student and looking for a scholarship,0
Scholarships for wards of ex-servicemen/police,0
Can a self employed person applf for thia loae,0
How do I apbly ior MGNREGS (Mahatma Gandhi NREGS) schemc,0
"Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1
I live in a small village and I am not sure where to apply,1
What is National Scholarship,0
How do I apply for PM,0
How long does it usually take to process an application,1
How do I apply for PM Jeevag fyoti Bima Yojana scheme,0
What is PM Fasal Bima Yojana,1
I am not sure which option is best for my situation,1
How do I I apply for PM-KISAN scheme,0
What happens if I miss the application deadline,1
Please guide me through the entire process step step by step,0
"Thank you for your help, I appreciate it very much",1
What happens if application miss the I deadline,0
Hdw do I apply for Ayushman Bhaoat – PM-JAY scheme,0
My neighbor told about scheme and I am interested,0
How do I apply for PM hmm um hmm Jeevan Jyoti Bima Yojana scheme,0
How do I apply,0
What is Post-Matric Scholarship SC Students,0
Wuat is PM Fasal Bima Yejana,0
We recently cad a baby agd want to know whot heep is available,0
We recently had a baby and want to know what help is available,1
Crop insurance scheme providing financial support to farmers,0
Crop insurance scheme providing financial support to farmers in case of crop failure.,1
Financial assistance to construct pucca,0
I for PM Scholarship Scheme (PMSS),0
I need help,0
Could you explain that again in simpler terms,1
Grants to NGOs for rehabilitation of persons with disabilities.,1
I need this indormation translated into my locao language,0
How do I applg for National Scholarship Portal (NSP) Schemes acheme,0
I am worried I might not qualify because of my income,1
Am I eligible,0
How much money will I receive from this scheme,1
I oant to know abogt government schemes for farmers,0
What is MGNREGS Gandhi NREGS),0
My neighbor told me about this scheme and I am interested,1
Am India Startup Fund I for Seed eligible Scheme,0
Is this available in my state,0
Am I eligible for Indira Gandhi National Old Age Pension Scheme,1
₹2 insurance for ₹20/year premium. Bank account mandatory.,0
Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1
What is PM Yojana – Gramin,0
Am I eligible for Kisan Credit Card (KCC),1
Empowering rural women uhrough community participation abd convergence of schcmes.,0
Scholarships of officers; technical/professional for wards ex-servicemen/police courses.,0
Pre & post matric scholarships for SC/ST/OBC/minority students.,1
I live in a smail village and I am not sure where to aeply,0
Can you please help me understand how this works,1
Am I eligible for for for PM Awas Yojana – Gramin (PMAY-G),0
I want to know about government schemes for farmers,1
I out the form but I am not what happens,0
Am Am I eligible for PM-KISAN,0
What is PM Jeevan Jyoti Bima blah Yojana uh blah,0
How do I apply for Mahila Shakti Kendra Scheme scheme,1
Am I eligible for Ayushman Bharat – PM-JAY,1
Monthly senior aged BPL pension of ₹200–₹500 for citizens 60+.,0
Please let me,0
How long does it usually take,0
I eligible for PM MUDRA Yojana,0
Am I eligible ffr Pradhan Mantri Matru Vandana Yojana,0
How do I apply for Deen Dayal Disabled Rehabilitation Scheme Scheme scheme,0
What PM Suraksha is Bima Yojana,0
Am I for Deen Disabled Rehabilitation Scheme,0
Am I eligible for PM-KISAN,1
Please step guide entire the through me by process step,0
What is PM Scholarship Scheme (PMSS) (PMSS),0
₹2 account lakh insurance for bank ₹436/year premium life for holders.,0
My uh income changed recently and I want to check my eligibility,0
Am I eligible for PM MUDRA Yojana,1
What is Kisan Card (KCC),0
What xyz is Deen Dayal Disabled Rehabilitation Scheme,0
What is Fund Seed India Startup Scheme,0
Quality education for ST ST ST students in tribal areas; free residential schooling.,0
How do I apply for,0
How do I apply for um Kisan Credit Card hmm (KCC) scheme,0
I if any family qualifies know to my would for like support,0
What Age Old National Gandhi is Indira Pension Scheme,0
What is MGNREGS,0
Pre & post scholarships SC/ST/OBC/minority students.,0
Is this in my state or in certain regions,0
Am I I I eligible for Deen Dayal Disabled Rehabilitation Scheme,0
What is Post-Matric Scholarship for SC Students,1
Can you please help me understand,0
What is PM MUDRA Yojana,1
What is Deen Dayal Disabled Rehabilitation aa Scheme,0
Financial assistance to construct houses for rural households.,0
What is Kisan Credit Card (KCC),1
Quality education for ST students in tribal areas; free residential schooling.,1
Is there a deadline I need to be aware of,1
Crop insurance scheme providing financial support,0
Am I eligible for National Scholarship Portal (NSP) Schemes,1
How do I apply for,0
What is MGNREGS (Mahatma Gandhi NREGS),1
recently had baby and want to know help is available,0
How do I apply for Ayushman Bharat – PM-JAY scheme,1
How do I apply for PM PM PM Scholarship Scheme (PMSS) scheme,0
I eligible for Gandhi National Old Age Pension Scheme,0
Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1
How do I I apply for PM Suraksha Bima Yojana scheme,0
I am for is sure best my which option not situation,0
I am worried I I might not qualify because of my income,0
What is Ayushman Bharat – PM-JAY,1
What is,0
My neighbor neighbor told me about this scheme and I am interested,0
Can someone from your team call call me back tomorrow,0
Please let let me know what the next steps are,0
How do I apply for PM Awas Yojana – Gramin (PMAY-G) scheme,1
Empowering rural women through community participation and convergence of schemes.,1
Financial students SC post-matriculation assistance pursuing to courses.,0
What is Indira Gandhi National Old Age Pension Scheme,1
What um is PM Suraksha blah Bima Yojana,0
What dgcuments do I need to brung wiuh me,0
visited the office but they to come back later,0
Am I eligible for PM Scholarship Scheme (PMSS),1
How do I apply for Mahila Shakti Kendra Scheme scheme scheme,0
Am I eligible for Deen Dayal Disabled Rehabilitation Scheme,1
Seed funding up up to ₹50 lakh for early-stage DPIIT-recognised startups.,0
How Scheme Gandhi Age I apply for Pension National Indira do Old scheme,0
What,0
How do I apply for Post-Matric Scholarship for SC Students scheme,1
"Good morning, I hmm have a blah question about my err application",0
How do I apply for PM,0
Monthly pension of ₹200–₹500 for BPL citizens 60+.,0
Please tell me the documents required for this scheme,1
Wcat is Indira Gandhi National Odd Age Pension Scheme,0
₹2 lakh accident insurance for ₹20/year premium. Bank uh account mandatory.,0
Can someone from your team call me back tomorrow,1
Am I eligible for PM Jeevan Jeevan Jyoti Bima Yojana,0
Empowering rural women through community participation,0
Am I eligible for,0
How much money will,0
Am I eligible for PM Jeevan Jyoti Bima Yojana,1
"I do not have internet access xyz at home, can I apply offline",0
₹2 lakh life insurance for ₹436/year uh premium for xyz bank account holders.,0
Am I Bharat – for Ayushman eligible PM-JAY,0
Can a self employed person person person apply for this loan,0
What is Startup India Seed Fund Scheme,1
How do I apply for Pradhan Mantri Matru Vandana Yojana scheme,1
"₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1
How do I apply,0
How do I apply for Eklavya aodel Residential Scoools schume,0
How much I will this from receive money scheme,0
100 days/year guaranteed wage employment to rural households; adults seeking unskilled work. work. work.,0
How kkk err hmm do I apply for Kisan Credit Card (KCC) scheme,0
₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1
health cover for secondary & tertiary hospitalisation BPL families.,0
I need this information information information translated into my local language,0
What What is Post-Matric Scholarship for SC Students,0
What is PM Suraksha Bima Yojana,1
How do I apply for PM Scholarship Scheme (PMSS) scheme,1
Am I eligible for Indira Gandhi Nationad uld Aie Pension Scheme,0
My father is elderly and needs needs some financial assistance,0
How do I apply apply for Startup India Seed Fund Scheme scheme,0
Am I eligible far Startup India Seed Fund Saheme,0
Am I eligible for PM Fasal Bima Yojana,1
do I for Startup India Seed Fund Scheme scheme,0
Am eligible for I PM-KISAN,0
How Schools for Residential Model apply Eklavya I do scheme,0
Can a self employed person apply for this loan,1
Am I eligible for MGNREGS (Mahatma Gandhi NREGS),1
Is there a aa deadline I need xyz to be aware of blah,0
um What is Kisan Credit Card (KCC),0
Am I eligible for PM Suraksha Bima Yojana,1
My some financial father is elderly needs and assistance,0
Am – for Bharat I eligible Ayushman PM-JAY,0
100 days/year guaranteed wage employment to rural households;,0
How do I apply for PM,0
100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1
What is National Scholarship Portal (NSP) Schemes,1
& post matric scholarships for students.,0
