age,annual_income,occupation,gender,category,education,land_owned_acres,is_bpl,is_disabled
16,34022,student,female,obc,secondary,0.7,1,0
60,120169,self_employed,female,st,secondary,0.2,1,0
26,159204,farmer,male,obc,none,2.9,0,0
60,82666,daily_wage,other,sc,secondary,1.0,1,0
66,384860,self_employed,other,sc,primary,0.2,0,0
30,607833,self_employed,other,obc,primary,0.8,0,0
26,52142,daily_wage,female,obc,graduate,1.0,0,1
39,13543,unemployed,male,sc,secondary,0,0,0
47,625006,salaried,other,sc,primary,0.9,0,0
41,202134,other,male,st,primary,0.2,0,0
47,24272,student,male,sc,postgraduate,0.2,1,0
43,52814,self_employed,female,obc,postgraduate,0,0,0
37,97619,daily_wage,other,obc,graduate,0,0,0
37,27300,student,female,general,postgraduate,0.9,1,1
48,54604,farmer,male,general,graduate,3.8,0,0
41,163119,farmer,female,st,none,2.9,0,0
55,961508,salaried,other,obc,none,0.4,0,0
38,84414,daily_wage,male,obc,graduate,0,1,0
16,13499,unemployed,male,st,none,1.0,0,0
49,252546,salaried,male,sc,graduate,0.4,0,0
39,39132,student,other,st,secondary,0,0,0
58,13647,unemployed,male,general,primary,0.4,0,0
43,100487,daily_wage,female,sc,primary,0,1,0
45,18049,unemployed,other,st,secondary,0,1,0
41,275564,farmer,male,st,postgraduate,0,0,0
19,8542,unemployed,male,obc,graduate,0,0,0
62,96446,farmer,other,general,secondary,2.6,1,0
38,135125,daily_wage,female,obc,secondary,0,1,0
26,53556,daily_wage,male,sc,graduate,0.6,1,0
34,468074,self_employed,female,obc,none,0.6,0,0
26,708338,self_employed,other,obc,none,0,0,0
30,10743,unemployed,male,sc,postgraduate,1.3,0,1
39,559991,self_employed,other,general,primary,1.5,0,0
33,625939,salaried,other,obc,postgraduate,0.7,0,0
35,176221,other,other,obc,graduate,0,0,0
48,410129,farmer,female,obc,postgraduate,2.1,0,1
43,246667,salaried,male,st,none,0.8,0,0
27,1174265,salaried,female,st,primary,0.2,0,0
45,635457,self_employed,other,sc,graduate,0,0,0
16,5477,student,male,obc,secondary,0.4,0,0
46,332620,self_employed,male,sc,secondary,0.9,0,0
49,868367,salaried,other,st,none,0.9,0,0
57,15448,unemployed,male,general,graduate,0,1,0
38,8318,unemployed,male,st,none,1.1,1,0
50,13006,unemployed,female,general,graduate,0.7,0,0
38,25387,student,other,sc,none,0,0,0
35,114470,other,male,sc,secondary,0.0,0,0
35,8924,unemployed,female,obc,postgraduate,0.1,1,1
63,283714,self_employed,female,obc,secondary,0,0,0
62,73284,daily_wage,other,st,none,0.3,0,0
39,163682,daily_wage,other,obc,postgraduate,0.2,0,0
16,33426,student,female,obc,none,0,1,0
53,615420,self_employed,male,obc,postgraduate,0.6,0,0
40,228172,self_employed,other,general,secondary,0,1,0
35,151587,other,other,st,secondary,0,0,0
61,86483,daily_wage,male,sc,primary,0.6,0,1
44,17933,student,female,obc,graduate,0.0,0,0
48,335237,farmer,other,sc,postgraduate,1.7,0,0
40,159658,daily_wage,other,st,secondary,0,0,0
52,11698,unemployed,female,st,none,0,1,0
52,1136410,salaried,female,obc,none,0.2,0,0
23,544001,self_employed,other,sc,none,0.1,0,0
62,9986,unemployed,female,sc,primary,0.2,1,0
16,25238,student,female,obc,secondary,0.6,1,0
66,382270,self_employed,female,sc,secondary,0.5,0,0
33,249367,farmer,male,sc,graduate,4.3,0,0
28,30359,unemployed,other,sc,graduate,0,0,0
33,86649,daily_wage,male,obc,secondary,0,0,0
33,63715,daily_wage,female,st,primary,0.3,1,0
72,0,farmer,male,st,none,1.1,0,1
45,155549,self_employed,other,obc,postgraduate,0,0,0
53,152314,other,other,obc,graduate,0,0,0
42,3964,student,other,st,none,0.2,0,0
37,148270,farmer,female,sc,graduate,0.3,0,0
51,122010,farmer,other,general,primary,0.6,1,1
24,55688,daily_wage,other,obc,primary,0.1,0,0
32,119467,daily_wage,male,general,none,0.6,1,0
40,13329,student,male,general,none,0.6,0,0
43,109045,farmer,other,sc,primary,4.5,0,0
47,834707,salaried,male,st,primary,1.0,0,0
41,1079834,salaried,male,sc,secondary,0.4,0,0
36,19947,unemployed,male,st,none,0.9,1,0
62,33787,daily_wage,female,general,none,0,1,0
20,15654,unemployed,other,obc,graduate,0.8,1,0
52,588327,salaried,female,general,primary,0.6,0,0
16,18013,unemployed,male,st,primary,0,1,0
42,1202687,salaried,male,general,secondary,0.8,0,0
30,303483,farmer,male,general,postgraduate,1.7,0,0
55,301199,salaried,female,st,postgraduate,0,0,0
16,102479,daily_wage,female,sc,graduate,1.1,0,0
46,32966,student,male,st,postgraduate,0,1,1
41,85997,daily_wage,male,obc,postgraduate,0,0,0
17,29157,student,other,general,secondary,0.7,1,0
59,409184,self_employed,female,st,graduate,0,0,0
27,264835,farmer,other,sc,secondary,0.9,0,1
18,14484,unemployed,male,obc,secondary,0.9,0,0
25,57462,daily_wage,other,st,none,0,1,0
52,352995,self_employed,male,obc,postgraduate,0,0,1
26,189370,other,male,general,graduate,1.1,0,0
27,216751,farmer,other,obc,graduate,5.3,0,0
16,13357,student,other,sc,secondary,0,0,0
61,298804,self_employed,male,sc,none,0,0,1
40,298102,farmer,female,general,graduate,0,0,0
42,20269,student,female,general,postgraduate,0,1,0
40,463757,self_employed,female,obc,secondary,0,0,0
46,18630,unemployed,male,sc,graduate,0,1,0
27,224256,other,male,sc,none,0.3,0,0
46,254448,salaried,other,sc,primary,0,0,0
50,46644,student,male,obc,postgraduate,0.2,1,0
75,152108,farmer,male,sc,secondary,0,0,0
50,554308,salaried,female,sc,primary,0.1,1,0
28,248786,self_employed,other,st,secondary,0.1,0,0
51,18970,unemployed,female,obc,primary,0,0,0
20,100879,daily_wage,male,st,primary,0,0,0
48,569738,self_employed,female,sc,postgraduate,0.6,0,0
40,10442,student,other,obc,primary,1.8,0,0
17,33973,student,female,general,secondary,0.7,0,0
23,635234,salaried,male,sc,graduate,0.7,0,0
46,180488,farmer,other,obc,graduate,2.7,0,0
16,43415,daily_wage,male,st,secondary,0,1,0
27,24635,student,male,general,secondary,0.7,1,0
31,116329,farmer,other,st,postgraduate,2.6,1,0
27,207522,farmer,other,st,secondary,1.8,0,0
51,19627,unemployed,female,obc,none,0,0,0
37,91744,daily_wage,male,general,graduate,0,0,0
45,160320,farmer,female,st,postgraduate,5.1,0,0
56,17582,unemployed,female,obc,primary,0,0,1
67,83015,farmer,female,st,none,0.6,0,0
22,325996,farmer,male,obc,postgraduate,2.6,0,0
25,1070387,self_employed,other,st,secondary,1.0,0,0
39,80771,daily_wage,other,sc,none,0,0,0
44,19372,student,male,obc,none,0.1,0,0
45,33055,daily_wage,female,sc,primary,0.5,0,0
56,66546,daily_wage,female,obc,secondary,1.0,1,0
31,30941,unemployed,female,st,secondary,0.5,1,0
60,52541,self_employed,other,st,primary,0.5,1,0
23,246205,other,male,sc,primary,0.4,0,0
37,14917,unemployed,male,obc,postgraduate,0.1,1,0
31,44623,student,female,obc,graduate,0,0,0
31,213361,other,male,obc,primary,1.5,0,1
34,106976,self_employed,female,general,graduate,0.0,0,0
32,444473,self_employed,female,general,graduate,0.9,0,0
61,222620,self_employed,other,general,none,1.0,0,0
31,13235,unemployed,female,general,graduate,0.3,1,0
29,11778,unemployed,other,general,primary,0.7,0,0
48,47958,daily_wage,male,sc,graduate,0,0,0
28,277890,self_employed,other,st,primary,0,0,0
56,13348,student,other,sc,postgraduate,0.8,0,0
65,1965,unemployed,other,st,secondary,0.5,0,0
40,277839,farmer,other,st,postgraduate,1.5,0,0
33,828324,salaried,female,st,postgraduate,1.5,0,0
58,25642,student,female,general,graduate,0,0,0
55,34594,student,female,sc,graduate,0.1,0,0
54,0,unemployed,female,sc,postgraduate,0,0,0
17,25430,student,male,general,secondary,0.9,1,0
48,444463,self_employed,male,general,graduate,0,0,0
22,102533,other,female,general,postgraduate,0,1,0
23,674121,self_employed,other,obc,graduate,0,0,0
32,519740,self_employed,male,general,primary,0.8,0,0
40,18833,student,male,general,secondary,0,1,0
41,265005,other,other,general,postgraduate,0.7,0,0
44,8,student,other,general,secondary,0.4,0,0
33,208029,farmer,other,st,primary,2.9,0,0
56,192548,farmer,female,obc,none,1.8,0,0
20,138756,daily_wage,other,sc,secondary,0,0,0
47,0,salaried,other,sc,none,0.6,0,1
44,301084,self_employed,female,obc,none,0.5,0,0
38,630115,self_employed,male,sc,postgraduate,0.8,0,0
53,26390,student,other,obc,postgraduate,0.1,1,1
42,510335,self_employed,other,obc,graduate,0,0,0
43,369987,farmer,other,st,postgraduate,2.7,0,0
72,23276,unemployed,female,general,none,0,1,0
49,287541,farmer,other,sc,none,2.7,0,0
63,77664,daily_wage,other,general,secondary,0.3,1,1
16,39724,student,female,general,primary,0,0,0
33,14407,student,male,sc,graduate,0,1,0
16,31892,student,other,st,secondary,0.0,0,0
28,57780,other,other,st,secondary,0,1,0
54,589611,self_employed,male,obc,graduate,0,0,0
16,48954,student,male,st,graduate,0.5,1,0
41,21163,unemployed,other,st,secondary,0,1,0
36,4744,unemployed,female,obc,primary,0.5,1,0
65,281687,farmer,male,obc,primary,6.0,0,0
70,155316,farmer,other,obc,none,0.2,0,0
57,740808,self_employed,female,sc,secondary,0,0,0
62,150794,daily_wage,female,sc,none,1.3,0,0
16,107051,daily_wage,female,sc,secondary,0.3,1,0
37,138802,daily_wage,other,general,primary,0,0,1
44,0,student,female,obc,secondary,0.8,0,0
61,116616,daily_wage,male,sc,secondary,0,1,0
55,170815,self_employed,female,st,postgraduate,0.4,0,0
22,203899,farmer,male,st,primary,0,0,0
45,134972,farmer,other,sc,primary,0.1,1,0
37,26342,student,male,sc,secondary,0,0,0
27,154010,other,male,st,none,0.6,0,0
36,361820,self_employed,female,general,secondary,0,0,0
34,421041,self_employed,male,st,primary,0,0,0
29,22468,student,male,general,primary,1.1,1,0
57,25175,student,male,st,primary,0.2,1,0
53,0,daily_wage,other,general,primary,0,0,0
33,461294,salaried,female,obc,none,0.5,0,0
49,1022269,salaried,male,obc,secondary,0.4,0,0
40,141606,other,other,general,none,0,0,0
41,19486,unemployed,female,general,graduate,0.3,0,0
44,20291,unemployed,female,sc,primary,0,0,0
67,120047,farmer,female,st,secondary,2.4,1,0
34,29885,student,female,sc,primary,1.5,0,0
27,275154,farmer,other,st,graduate,1.7,0,0
52,40179,student,other,obc,none,0.5,0,0
16,17353,student,male,obc,graduate,0,0,0
20,28116,daily_wage,other,general,secondary,0.7,1,0
16,157795,daily_wage,other,st,graduate,1.6,0,0
56,582345,salaried,male,st,primary,0.4,0,0
31,69927,daily_wage,other,st,none,0.3,1,1
41,167126,other,other,obc,primary,0,0,0
47,278391,self_employed,other,sc,none,0,0,0
42,20076,student,male,st,none,0,1,0
47,158189,other,female,st,postgraduate,0,0,0
16,67304,daily_wage,male,st,secondary,0,1,0
42,83110,daily_wage,other,obc,primary,1.3,0,1
41,9159,unemployed,female,sc,none,0.2,0,0
16,18023,student,other,obc,secondary,0.6,1,0
49,26628,unemployed,male,sc,graduate,0,0,0
21,16535,student,other,st,none,1.0,0,0
36,15324,student,other,obc,graduate,0.6,1,0
24,70055,farmer,female,st,postgraduate,0.2,0,0
61,733305,self_employed,other,sc,secondary,0,0,0
49,465913,self_employed,female,general,primary,0.6,0,0
29,24577,student,female,sc,none,0.3,0,0
39,86580,daily_wage,female,obc,secondary,0.7,0,0
45,5209,unemployed,female,general,none,0.4,0,0
79,119174,daily_wage,female,obc,primary,0,1,0
25,22517,student,female,obc,none,0.4,0,0
26,139675,farmer,other,obc,primary,0.9,1,0
43,150664,other,male,obc,graduate,0.4,0,0
31,3917,student,female,general,graduate,0.6,1,0
37,57285,daily_wage,male,obc,postgraduate,0.6,1,1
52,200854,other,male,st,none,0.4,0,0
48,205426,farmer,male,general,graduate,0,0,1
55,12112,unemployed,female,sc,none,0.5,1,0
42,85119,other,male,obc,graduate,0,0,0
32,216215,self_employed,other,obc,primary,0,0,0
57,36511,daily_wage,female,general,none,0.5,1,0
47,13748,unemployed,female,general,secondary,0,0,0
23,179659,salaried,other,general,primary,0.5,0,0
16,34084,daily_wage,female,obc,none,0.9,0,0
43,87482,daily_wage,male,general,none,0,0,1
28,110389,daily_wage,female,st,secondary,0,0,0
43,79281,farmer,female,obc,primary,0.6,1,0
38,704651,self_employed,female,st,secondary,0,0,0
31,86525,daily_wage,female,obc,postgraduate,0.3,0,0
39,33499,student,female,obc,graduate,0.5,0,0
51,33604,student,male,general,none,0,0,0
49,128669,other,female,general,none,0.8,0,1
45,36881,student,male,general,secondary,0,1,0
28,32346,student,other,st,none,0.2,1,0
16,57037,student,female,st,graduate,0,0,0
48,114831,daily_wage,female,general,graduate,0.4,0,0
16,95973,daily_wage,female,sc,none,1.5,0,0
45,66347,farmer,female,obc,graduate,1.8,0,0
41,68966,self_employed,male,sc,postgraduate,0,1,0
22,49332,other,female,general,graduate,0.1,0,0
63,52153,daily_wage,other,st,primary,0,0,0
24,20430,unemployed,other,st,none,0,0,0
60,711234,self_employed,female,general,none,0.4,0,0
44,242806,salaried,other,st,primary,0,0,0
39,466657,self_employed,male,sc,postgraduate,0.2,0,0
47,36886,student,female,general,graduate,0.4,1,0
16,16889,unemployed,male,obc,secondary,0.8,0,0
24,28141,student,male,general,secondary,0,1,0
53,293359,other,female,sc,none,0.6,0,0
16,40570,student,female,sc,graduate,0,1,0
38,101598,daily_wage,female,general,none,1.5,0,0
43,59743,daily_wage,other,st,secondary,0.1,0,0
27,10451,unemployed,other,st,postgraduate,0.3,1,0
52,63846,daily_wage,female,sc,primary,0.8,0,0
16,7210,student,female,obc,secondary,0,1,0
42,20781,student,female,st,graduate,0.8,0,0
60,228430,farmer,other,general,secondary,1.7,0,0
50,239344,other,male,general,none,0.3,0,0
48,448449,self_employed,female,sc,secondary,0.2,0,0
16,91681,daily_wage,other,st,graduate,0.6,0,0
16,40092,student,male,st,none,0,1,0
16,20418,student,female,general,none,0,0,0
36,10795,unemployed,female,sc,none,1.3,0,0
55,0,other,female,sc,graduate,0.1,0,0
44,20868,student,female,st,postgraduate,0,0,0
26,239661,farmer,female,sc,secondary,3.0,0,0
35,158704,farmer,female,obc,graduate,2.6,0,0
52,294209,farmer,other,obc,postgraduate,1.2,0,0
17,90399,daily_wage,female,general,graduate,0,0,1
17,48992,student,female,sc,secondary,0,1,0
45,167253,other,female,st,graduate,0.1,0,0
30,215825,other,male,sc,primary,0.2,0,0
58,146985,self_employed,male,general,none,0,0,0
44,231041,other,female,general,primary,0.2,0,0
20,11612,unemployed,male,general,primary,0,0,0
41,21925,student,other,sc,secondary,1.0,0,0
45,20258,unemployed,male,obc,primary,0.3,1,0
40,15838,student,male,general,postgraduate,0.7,1,0
67,25626,daily_wage,other,sc,secondary,0.4,1,0
46,21810,student,female,general,none,1.4,0,0
53,846135,salaried,female,obc,graduate,0.9,0,0
44,692331,salaried,other,sc,secondary,0,0,0
36,80244,farmer,other,sc,secondary,5.2,0,0
53,535267,self_employed,male,st,primary,0,0,0
31,728644,self_employed,male,general,secondary,0.4,0,1
69,24833,daily_wage,female,general,secondary,0,0,0
53,244926,self_employed,female,general,postgraduate,0.0,0,0
21,78695,daily_wage,male,st,none,0.1,0,0
30,30260,student,male,st,graduate,0.9,1,0
27,214804,other,female,st,graduate,0.9,0,0
31,292444,farmer,female,st,secondary,1.0,0,0
16,33792,student,other,st,none,0,1,0
24,135459,other,female,obc,primary,0.7,1,1
29,40766,farmer,female,sc,graduate,2.3,1,1
34,655611,salaried,female,obc,graduate,0.2,0,0
43,15415,student,other,obc,primary,0,1,0
28,560932,self_employed,female,obc,none,0,1,0
36,189655,other,female,general,none,0,0,0
21,72508,daily_wage,other,obc,secondary,0,1,0
25,248391,self_employed,female,obc,none,0.9,0,0
32,161044,self_employed,male,general,primary,0.0,0,0
36,105935,farmer,female,sc,primary,0,0,0
45,147907,other,other,sc,graduate,0.4,1,1
24,844626,salaried,female,general,primary,0.1,0,0
26,613200,salaried,male,obc,postgraduate,0,0,0
51,1039852,salaried,other,st,secondary,1.3,0,1
40,3981,student,other,st,none,0.6,0,0
39,17891,unemployed,female,st,none,0,0,0
31,1149465,salaried,male,sc,secondary,0.8,0,0
46,22658,unemployed,male,st,secondary,0.6,0,0
41,106756,daily_wage,male,sc,graduate,0,0,0
41,28445,student,female,general,postgraduate,0,0,0
54,31655,unemployed,other,sc,graduate,0.5,0,1
35,160796,self_employed,female,sc,primary,0,0,0
67,90436,daily_wage,male,general,primary,0,1,0
16,15558,unemployed,male,obc,graduate,0,1,0
37,388605,farmer,other,st,secondary,0,0,0
25,21401,unemployed,male,obc,secondary,0.0,0,0
38,31317,student,male,st,postgraduate,1.0,1,0
65,144071,self_employed,other,sc,primary,0,0,0
16,78287,daily_wage,male,sc,graduate,0,0,0
16,49079,student,male,general,primary,0.3,0,0
36,300362,self_employed,female,obc,graduate,0,0,0
28,52223,daily_wage,female,sc,graduate,0,0,0
41,146324,farmer,female,sc,primary,3.2,1,1
51,23132,student,other,sc,postgraduate,0.9,1,0
44,147934,farmer,other,sc,secondary,0.6,1,0
51,123547,daily_wage,other,general,graduate,0,1,0
29,51035,student,other,general,graduate,1.6,1,0
38,127213,other,male,st,graduate,0.6,1,0
50,105602,daily_wage,other,general,none,1.9,0,0
21,16752,unemployed,other,sc,secondary,0.2,0,0
43,25078,self_employed,male,obc,none,0,1,0
24,172235,farmer,other,st,graduate,3.7,0,0
16,70210,daily_wage,other,obc,secondary,0.0,1,0
23,17561,student,female,obc,graduate,0,0,0
67,24793,unemployed,female,general,primary,0,0,0
38,222841,other,male,general,none,0,0,0
63,243048,self_employed,female,st,primary,0.7,0,0
54,802796,salaried,male,obc,none,0.1,0,0
33,166241,farmer,other,obc,postgraduate,0.2,0,0
59,726570,salaried,other,general,secondary,0,0,0
34,292937,farmer,female,sc,postgraduate,2.9,0,0
38,150529,daily_wage,female,st,graduate,0.4,0,0
53,201056,other,male,st,none,0,0,0
18,10400,unemployed,other,obc,secondary,0.6,1,1
72,540983,self_employed,male,general,secondary,0.9,0,0
24,127210,other,female,sc,graduate,0.2,1,0
51,52290,self_employed,female,obc,none,0,0,0
35,34684,student,female,general,secondary,0,0,0
42,67419,daily_wage,other,sc,graduate,0.2,0,0
58,23861,other,other,obc,graduate,1.2,0,0
62,360880,self_employed,other,sc,none,0.1,0,0
32,727761,salaried,other,st,none,0.5,0,0
32,649271,self_employed,female,st,none,0.0,0,1
51,25853,student,female,sc,secondary,0.7,0,1
27,578624,salaried,other,sc,postgraduate,0.2,0,0
22,58548,daily_wage,female,obc,postgraduate,0,0,0
29,243375,other,male,general,primary,0.5,0,0
52,840685,salaried,female,general,primary,1.2,0,0
29,246453,self_employed,female,obc,graduate,0,0,0
65,240361,farmer,female,obc,secondary,1.3,0,0
41,10491,unemployed,male,st,postgraduate,0.2,1,0
30,561149,self_employed,female,sc,graduate,1.3,0,0
46,132536,other,male,st,none,0.4,1,0
19,12028,unemployed,male,sc,primary,0.1,1,1
58,485961,salaried,other,sc,secondary,0.5,0,0
35,243032,salaried,other,general,primary,0,0,0
33,487667,self_employed,other,sc,graduate,0.3,0,0
82,52144,farmer,male,sc,primary,3.5,0,0
35,16904,unemployed,other,obc,none,0,1,0
42,72171,other,other,obc,graduate,0,1,0
30,451251,self_employed,other,sc,secondary,1.4,0,0
55,9023,farmer,female,obc,secondary,0,0,0
63,9845,unemployed,female,sc,secondary,0.9,1,0
19,19440,unemployed,male,st,primary,0.4,0,0
60,478351,self_employed,male,general,primary,0.3,0,0
65,15571,daily_wage,other,general,none,0.3,1,0
73,22047,unemployed,other,st,none,0,0,0
42,47038,daily_wage,other,st,primary,0.0,1,1
45,155484,daily_wage,male,general,graduate,0.2,0,0
67,5936,daily_wage,other,general,none,0.4,0,0
30,35216,student,other,obc,primary,0.2,1,0
36,232745,other,male,obc,primary,0.9,0,0
47,429842,self_employed,female,sc,secondary,0,0,0
