context,answer,grounded,failure_type
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,"This programme, PM Suraksha Bima Yojana, is administered by Ministry of Finance. In short, ₹2 lakh accident coverage for ₹20/year premium. Bank account mandatory.",1,grounded_paraphrase
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,"You may qualify for monetary aid under Indira Gandhi National Old Age Pension Programme, run by Ministry of Village-area Development: Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.",1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","₹5,000 cash incentive for first live birth to assistance pregnant/lactating female applicants. That's what Pradhan Mantri Matru Vandana Yojana offers, under Ministry of Female applicants & Child Development.",1,grounded_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM Scholarship Scheme (PMSS) is run by Ministry of Home Affairs and is specifically designed for foreign nationals visiting India. Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,hard_negative_wrong_target
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare. It provides: Crop insurance scheme providing financial support to farmers in case of crop failure. Additional cash bonus of ₹50000 is also provided in the first year.,0,fabricated_number
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Rural Development and is specifically designed for salaried IT employees in metro cities. 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,0,hard_negative_wrong_target
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,"This programme, MGNREGS (Mahatma Gandhi NREGS), is administered by Ministry of Village-area Development. In short, 100 days/year guaranteed wage employment to village-area households; adults seeking unskilled work.",1,grounded_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Kisan Credit Card (KCC) is run by Ministry of Agriculture & Farmers' Welfare. It provides: Affordable credit for farmers for agricultural needs up to 999999 lakh at 4% interest.,0,fabricated_number
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs and is specifically designed for private hospital chains. Quality education for ST learners in tribal areas; free residential schooling.,0,hard_negative_wrong_target_paraphrase
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Income support of ₹6,000/year in 25000 installments to small & marginal farmers.",0,fabricated_number
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,"You may qualify for monetary aid under PM Jeevan Jyoti Bima Yojana, run by Ministry of Finance: ₹2 lakh life coverage for ₹436/year premium for bank account holders.",1,grounded_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,"You may qualify for monetary aid under PM Fasal Bima Yojana, run by Ministry of Agriculture & Farmers' Welfare: Crop coverage programme providing monetary assistance to cultivators in case of crop failure.",1,grounded_paraphrase
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,Cricket is a popular sport played between two teams of eleven players.,0,off_topic
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,Mahila Shakti Kendra Scheme is run by Ministry of Women & Child Development and is specifically designed for large industrial corporations. Empowering rural women through community participation and convergence of schemes.,0,hard_negative_wrong_target
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare and is specifically designed for foreign nationals visiting India. ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,hard_negative_wrong_target
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,₹2 lakh accident coverage for ₹20/year premium. Bank account mandatory.,1,grounded_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,"You may qualify for monetary aid under Startup India Seed Fund Programme, run by Ministry of Commerce & Industry: Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.",1,grounded_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,"The capital of France is Paris, a city known for its museums.",0,off_topic
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,grounded
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,"This programme, Indira Gandhi National Old Age Pension Programme, is administered by Ministry of Village-area Development. In short, Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.",1,grounded_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Deen Dayal Disabled Rehabilitation Programme is run by Ministry of Social Justice & Empowerment and is specifically designed for large industrial corporations. Funding to NGOs for rehabilitation of persons with disabilities.,0,hard_negative_wrong_target_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,Startup India Seed Fund Scheme is run by Ministry of Commerce & Industry. It provides: Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,grounded
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,"The capital of France is Paris, a city known for its museums.",0,off_topic
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,"Monetary aid to SC learners pursuing post-matriculation courses. That's what Post-Matric Scholarship for SC Learners offers, under Ministry of Social Justice & Empowerment.",1,grounded_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Rural Development and is specifically designed for large industrial corporations. Financial assistance to construct pucca houses for rural BPL households.,0,hard_negative_wrong_target
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,Mahila Shakti Kendra Scheme is run by Ministry of Women & Child Development. It provides: Empowering rural women through community participation and convergence of schemes. Additional cash bonus of ₹25000 is also provided in the first year.,0,fabricated_number
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans 45000K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,fabricated_number_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,topic_mismatch
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Village-area Development. It provides: Monetary aid to construct pucca houses for village-area BPL households.,0,topic_mismatch_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Deen Dayal Disabled Rehabilitation Scheme is run by Ministry of Social Justice & Empowerment and is specifically designed for private hospital chains. Grants to NGOs for rehabilitation of persons with disabilities.,0,hard_negative_wrong_target
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,PM Scholarship Scheme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,topic_mismatch
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare and is specifically designed for large industrial corporations. Income support of ₹6,000/year in 3 installments to small & marginal farmers.",0,hard_negative_wrong_target
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Startup India Seed Fund Scheme is run by Ministry of Commerce & Industry. It provides: Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,0,topic_mismatch
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,"PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Income support of ₹6,000/year in 3 installments to small & marginal farmers.",0,topic_mismatch
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,Startup India Seed Fund Scheme is run by Ministry of Commerce & Industry. It provides: Seed funding up to 25000 lakh for early-stage DPIIT-recognised startups.,0,fabricated_number
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,"This programme, National Scholarship Portal (NSP) Schemes, is administered by Ministry of Education. In short, Pre & post matric scholarships for SC/ST/OBC/minority learners.",1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",National Scholarship Portal (NSP) Schemes is run by Ministry of Education. It provides: Pre & post matric scholarships for SC/ST/OBC/minority students.,0,topic_mismatch
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,"100 days/year guaranteed wage employment to village-area households; adults seeking unskilled work. That's what MGNREGS (Mahatma Gandhi NREGS) offers, under Ministry of Village-area Development.",1,grounded_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,"Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun). That's what PM MUDRA Yojana offers, under Ministry of Finance.",1,grounded_paraphrase
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,PM Scholarship Programme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,topic_mismatch_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,grounded_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,Startup India Seed Fund Scheme is run by Ministry of Commerce & Industry and is specifically designed for large industrial corporations. Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,0,hard_negative_wrong_target
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Mahila Shakti Kendra Programme is run by Ministry of Female applicants & Child Development. It provides: Empowering village-area female applicants through community participation and convergence of schemes.,0,topic_mismatch_paraphrase
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,"You may qualify for monetary aid under Eklavya Model Residential Schools, run by Ministry of Tribal Affairs: Quality education for ST learners in tribal areas; free residential schooling.",1,grounded_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,topic_mismatch_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,"Pre & post matric scholarships for SC/ST/OBC/minority learners. That's what National Scholarship Portal (NSP) Schemes offers, under Ministry of Education.",1,grounded_paraphrase
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,topic_mismatch_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Kisan Credit Card (KCC) is run by Ministry of Agriculture & Farmers' Welfare. It provides: Affordable credit for cultivators for agricultural needs up to ₹3 lakh at 45000% interest.,0,fabricated_number_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,₹2 lakh life coverage for ₹436/year premium for bank account holders.,1,grounded_paraphrase
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare. It provides: Crop insurance scheme providing financial support to farmers in case of crop failure.,0,topic_mismatch
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare. It provides: Crop insurance scheme providing financial support to farmers in case of crop failure.,1,grounded
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh life insurance for ₹436/year premium for bank account holders.,0,topic_mismatch
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,grounded
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,"Monetary aid to construct pucca houses for village-area BPL households. That's what PM Awas Yojana – Gramin (PMAY-G) offers, under Ministry of Village-area Development.",1,grounded_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Village-area Development. It provides: 100 days/year guaranteed wage employment to village-area households; adults seeking unskilled work.,0,topic_mismatch_paraphrase
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,Empowering village-area female applicants through community participation and convergence of schemes.,1,grounded_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Kisan Credit Card (KCC) is run by Ministry of Agriculture & Farmers' Welfare and is specifically designed for salaried IT employees in metro cities. Affordable credit for cultivators for agricultural needs up to ₹3 lakh at 4% interest.,0,hard_negative_wrong_target_paraphrase
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,"Empowering village-area female applicants through community participation and convergence of schemes. That's what Mahila Shakti Kendra Programme offers, under Ministry of Female applicants & Child Development.",1,grounded_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,"PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Income support of ₹6,000/year in 3 installments to small & marginal farmers.",0,topic_mismatch
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,grounded
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","Pradhan Mantri Matru Vandana Yojana is run by Ministry of Female applicants & Child Development and is specifically designed for large industrial corporations. ₹5,000 cash incentive for first live birth to assistance pregnant/lactating female applicants.",0,hard_negative_wrong_target_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,"PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators.",0,topic_mismatch_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,"This programme, Kisan Credit Card (KCC), is administered by Ministry of Agriculture & Farmers' Welfare. In short, Affordable credit for cultivators for agricultural needs up to ₹3 lakh at 4% interest.",1,grounded_paraphrase
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs and is specifically designed for foreign nationals visiting India. Quality education for ST students in tribal areas; free residential schooling.,0,hard_negative_wrong_target
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",The weather today is expected to be sunny with a light breeze.,0,off_topic
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,Post-Matric Scholarship for SC Learners is run by Ministry of Social Justice & Empowerment. It provides: Monetary aid to SC learners pursuing post-matriculation courses.,0,topic_mismatch_paraphrase
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,Mahila Shakti Kendra Scheme is run by Ministry of Women & Child Development. It provides: Empowering rural women through community participation and convergence of schemes.,1,grounded
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,"The capital of France is Paris, a city known for its museums.",0,off_topic
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,Mahila Shakti Kendra Programme is run by Ministry of Female applicants & Child Development and is specifically designed for large industrial corporations. Empowering village-area female applicants through community participation and convergence of schemes.,0,hard_negative_wrong_target_paraphrase
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Indira Gandhi National Old Age Pension Scheme is run by Ministry of Rural Development and is specifically designed for foreign nationals visiting India. Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,0,hard_negative_wrong_target
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators.",1,grounded_paraphrase
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,"Quality education for ST learners in tribal areas; free residential schooling. That's what Eklavya Model Residential Schools offers, under Ministry of Tribal Affairs.",1,grounded_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Kisan Credit Card (KCC) is run by Ministry of Agriculture & Farmers' Welfare. It provides: Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,grounded
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,"You may qualify for monetary aid under National Scholarship Portal (NSP) Schemes, run by Ministry of Education: Pre & post matric scholarships for SC/ST/OBC/minority learners.",1,grounded_paraphrase
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Rural Development. It provides: 75000 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,0,fabricated_number
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","₹5,000 cash incentive for first live birth to assistance pregnant/lactating female applicants.",1,grounded_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,"This programme, PM Fasal Bima Yojana, is administered by Ministry of Agriculture & Farmers' Welfare. In short, Crop coverage programme providing monetary assistance to cultivators in case of crop failure.",1,grounded_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,topic_mismatch
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh life coverage for ₹436/year premium for bank account holders.,0,topic_mismatch_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,Cricket is a popular sport played between two teams of eleven players.,0,off_topic
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs. It provides: Quality education for ST learners in tribal areas; free residential schooling.,0,topic_mismatch_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,National Scholarship Portal (NSP) Schemes is run by Ministry of Education. It provides: Pre & post matric scholarships for SC/ST/OBC/minority students.,1,grounded
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh life insurance for ₹436/year premium for bank account holders.,0,topic_mismatch
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,"This programme, PM MUDRA Yojana, is administered by Ministry of Finance. In short, Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).",1,grounded_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM Scholarship Programme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses. Additional cash bonus of ₹25000 is also provided in the first year.,0,fabricated_number_paraphrase
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs. It provides: Quality education for ST students in tribal areas; free residential schooling.,1,grounded
