query,passage,label,lang
mujhe Post-Matric Scholarship for SC Students ke baare mein jaankari chahiye,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,hi-mix
mujhe PM MUDRA Yojana ke baare mein jaankari chahiye,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,hi-mix
garib yojana ke baare mein batao,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,hi-mix
sarkar ke liye National Scholarship Portal (NSP) Schemes kaise milega,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,hi-mix
How do I apply for Indira Gandhi National Old Age Pension Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,0,en
What is PM Fasal Bima Yojana?,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",0,en
What is Deen Dayal Disabled Rehabilitation Scheme?,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
Who is eligible for PM Jeevan Jyoti Bima Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
Which ministry runs Post-Matric Scholarship for SC Students,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
Which ministry runs Kisan Credit Card (KCC),Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,en
garib yojana ke baare mein batao,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,hi-mix
PM Scholarship Scheme (PMSS) ke liye kya documents chahiye,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,hi-mix
mujhe MGNREGS (Mahatma Gandhi NREGS) ke baare mein jaankari chahiye,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,hi-mix
mujhe National Scholarship Portal (NSP) Schemes ke baare mein jaankari chahiye,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,hi-mix
What is Ayushman Bharat – PM-JAY?,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
PM-KISAN ke liye kya documents chahiye,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,hi-mix
Eklavya Model Residential Schools ke liye kya documents chahiye,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,hi-mix
ration yojana ke baare mein batao,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,hi-mix
What documents do I need for Startup India Seed Fund Scheme,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
Indira Gandhi National Old Age Pension Scheme ke liye kya documents chahiye,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,hi-mix
Tell me about Startup India Seed Fund Scheme,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
Who is eligible for Ayushman Bharat – PM-JAY,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
Who is eligible for PM-KISAN,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
yojana ke liye Eklavya Model Residential Schools kaise milega,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,hi-mix
What is National Scholarship Portal (NSP) Schemes?,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
What are the benefits of PM Scholarship Scheme (PMSS),PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
What are the benefits of PM MUDRA Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
How do I apply for Kisan Credit Card (KCC),"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",0,en
Tell me about PM Suraksha Bima Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
What documents do I need for PM Fasal Bima Yojana,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
mujhe PM Jeevan Jyoti Bima Yojana ke baare mein jaankari chahiye,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,hi-mix
How do I apply for Indira Gandhi National Old Age Pension Scheme,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
Ayushman Bharat – PM-JAY ke liye kya documents chahiye,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,hi-mix
Kisan Credit Card (KCC) ke liye kya documents chahiye,Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,hi-mix
Tell me about MGNREGS (Mahatma Gandhi NREGS),MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
How do I apply for PM Awas Yojana – Gramin (PMAY-G),PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
Pradhan Mantri Matru Vandana Yojana ke liye kya documents chahiye,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,hi-mix
Tell me about Deen Dayal Disabled Rehabilitation Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,0,en
divyang yojana ke baare mein batao,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,hi-mix
What is PM Jeevan Jyoti Bima Yojana?,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
mujhe PM Suraksha Bima Yojana ke baare mein jaankari chahiye,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,hi-mix
Post-Matric Scholarship for SC Students ke liye kya documents chahiye,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,hi-mix
Tell me about Post-Matric Scholarship for SC Students,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,0,en
Tell me about Deen Dayal Disabled Rehabilitation Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
Who is eligible for PM MUDRA Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
Which ministry runs PM Jeevan Jyoti Bima Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
Which ministry runs Startup India Seed Fund Scheme,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,en
Tell me about PM MUDRA Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
Tell me about PM-KISAN,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,0,en
How do I apply for MGNREGS (Mahatma Gandhi NREGS),MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
How do I apply for National Scholarship Portal (NSP) Schemes,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
shiksha yojana ke baare mein batao,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,hi-mix
Tell me about PM Jeevan Jyoti Bima Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
PM Suraksha Bima Yojana ke liye kya documents chahiye,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,hi-mix
Which ministry runs National Scholarship Portal (NSP) Schemes,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
Which ministry runs MGNREGS (Mahatma Gandhi NREGS),MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
mujhe PM-KISAN ke baare mein jaankari chahiye,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,hi-mix
Who is eligible for PM Suraksha Bima Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
mujhe PM Awas Yojana – Gramin (PMAY-G) ke baare mein jaankari chahiye,PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,hi-mix
mujhe Kisan Credit Card (KCC) ke baare mein jaankari chahiye,Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,hi-mix
PM Fasal Bima Yojana ke liye kya documents chahiye,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,hi-mix
What documents do I need for PM Jeevan Jyoti Bima Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
What is MGNREGS (Mahatma Gandhi NREGS)?,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
Which ministry runs Indira Gandhi National Old Age Pension Scheme,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
What are the benefits of Indira Gandhi National Old Age Pension Scheme,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
What are the benefits of PM Suraksha Bima Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
PM Jeevan Jyoti Bima Yojana ke liye kya documents chahiye,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,hi-mix
Which ministry runs Kisan Credit Card (KCC),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
What is PM Fasal Bima Yojana?,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
What documents do I need for PM MUDRA Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
How do I apply for Pradhan Mantri Matru Vandana Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
What are the benefits of PM Jeevan Jyoti Bima Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
What is Indira Gandhi National Old Age Pension Scheme?,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
garib yojana ke baare mein batao,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,hi-mix
Which ministry runs PM-KISAN,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,0,en
mujhe Deen Dayal Disabled Rehabilitation Scheme ke baare mein jaankari chahiye,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,hi-mix
Which ministry runs PM Scholarship Scheme (PMSS),PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
Who is eligible for Indira Gandhi National Old Age Pension Scheme,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
What documents do I need for PM-KISAN,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
What are the benefits of Ayushman Bharat – PM-JAY,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
What documents do I need for PM Suraksha Bima Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
kisan yojana ke baare mein batao,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,hi-mix
What is Mahila Shakti Kendra Scheme?,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
What is Startup India Seed Fund Scheme?,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
What is Eklavya Model Residential Schools?,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
Who is eligible for Mahila Shakti Kendra Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
berojgari ke liye MGNREGS (Mahatma Gandhi NREGS) kaise milega,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,hi-mix
What are the benefits of Eklavya Model Residential Schools,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
What is PM Fasal Bima Yojana?,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,0,en
mujhe Pradhan Mantri Matru Vandana Yojana ke baare mein jaankari chahiye,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,hi-mix
What is PM Suraksha Bima Yojana?,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
Who is eligible for PM Awas Yojana – Gramin (PMAY-G),PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
Mahila Shakti Kendra Scheme ke liye kya documents chahiye,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,hi-mix
How do I apply for Startup India Seed Fund Scheme,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
beti yojana ke baare mein batao,Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,hi-mix
PM MUDRA Yojana ke liye kya documents chahiye,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,hi-mix
Startup India Seed Fund Scheme ke liye kya documents chahiye,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,hi-mix
What documents do I need for National Scholarship Portal (NSP) Schemes,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
berojgari ke liye Mahila Shakti Kendra Scheme kaise milega,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,hi-mix
Tell me about PM Awas Yojana – Gramin (PMAY-G),PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
Who is eligible for MGNREGS (Mahatma Gandhi NREGS),MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
What documents do I need for PM Scholarship Scheme (PMSS),PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
sarkar ke liye PM-KISAN kaise milega,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,hi-mix
mujhe Startup India Seed Fund Scheme ke baare mein jaankari chahiye,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,hi-mix
What documents do I need for MGNREGS (Mahatma Gandhi NREGS),MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
What are the benefits of PM Fasal Bima Yojana,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
Which ministry runs PM Fasal Bima Yojana,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
Tell me about PM-KISAN,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
How do I apply for Mahila Shakti Kendra Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
What documents do I need for Mahila Shakti Kendra Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
Who is eligible for Indira Gandhi National Old Age Pension Scheme,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,en
swasthya yojana ke baare mein batao,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,hi-mix
Which ministry runs PM-KISAN,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
